file,class,method,variable,usage
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\auth\UserHolder.java,io.github.xxyopen.novel.core.auth.UserHolder,clear/0,authorIdTL,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\auth\UserHolder.java,io.github.xxyopen.novel.core.auth.UserHolder,clear/0,userIdTL,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\auth\UserHolder.java,io.github.xxyopen.novel.core.auth.UserHolder,getAuthorId/0,authorIdTL,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\auth\UserHolder.java,io.github.xxyopen.novel.core.auth.UserHolder,setUserId/1[java.lang.Long],userIdTL,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\auth\UserHolder.java,io.github.xxyopen.novel.core.auth.UserHolder,getUserId/0,userIdTL,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\auth\UserHolder.java,io.github.xxyopen.novel.core.auth.UserHolder,setAuthorId/1[java.lang.Long],authorIdTL,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\constant\SystemConfigConsts.java,io.github.xxyopen.novel.core.constant.SystemConfigConsts,SystemConfigConsts/0,CONST_INSTANCE_EXCEPTION_MSG,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,doAround/1[io.github.xxyopen.novel.core.aspect.ProceedingJoinPoint],KEY_PREFIX,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,doAround/1[io.github.xxyopen.novel.core.aspect.ProceedingJoinPoint],redissonClient,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,"buildLockKey/3[java.lang.String,java.lang.reflect.Method,java.lang.Object[]]",KEY_SEPARATOR,2
C:\novel-master\src\main\java\io\github\xxyopen\novel\service\impl\DbSearchServiceImpl.java,io.github.xxyopen.novel.service.impl.DbSearchServiceImpl,searchBooks/1[io.github.xxyopen.novel.dto.req.BookSearchReqDto],bookInfoMapper,1
C:\novel-master\src\test\java\io\github\xxyopen\novel\generator\Generator.java,io.github.xxyopen.novel.generator.Generator,genCode/1[java.lang.String],DATABASE_NAME,1
C:\novel-master\src\test\java\io\github\xxyopen\novel\generator\Generator.java,io.github.xxyopen.novel.generator.Generator,genCode/1[java.lang.String],RESOURCE_PATH,1
C:\novel-master\src\test\java\io\github\xxyopen\novel\generator\Generator.java,io.github.xxyopen.novel.generator.Generator,genCode/1[java.lang.String],DATABASE_IP,1
C:\novel-master\src\test\java\io\github\xxyopen\novel\generator\Generator.java,io.github.xxyopen.novel.generator.Generator,genCode/1[java.lang.String],JAVA_PATH,1
C:\novel-master\src\test\java\io\github\xxyopen\novel\generator\Generator.java,io.github.xxyopen.novel.generator.Generator,genCode/1[java.lang.String],DATABASE_PORT,1
C:\novel-master\src\test\java\io\github\xxyopen\novel\generator\Generator.java,io.github.xxyopen.novel.generator.Generator,genCode/1[java.lang.String],BASE_PACKAGE,1
C:\novel-master\src\test\java\io\github\xxyopen\novel\generator\Generator.java,io.github.xxyopen.novel.generator.Generator,genCode/1[java.lang.String],USERNAME,1
C:\novel-master\src\test\java\io\github\xxyopen\novel\generator\Generator.java,io.github.xxyopen.novel.generator.Generator,genCode/1[java.lang.String],DATABASE_USERNAME,1
C:\novel-master\src\test\java\io\github\xxyopen\novel\generator\Generator.java,io.github.xxyopen.novel.generator.Generator,genCode/1[java.lang.String],PROJECT_PATH,2
C:\novel-master\src\test\java\io\github\xxyopen\novel\generator\Generator.java,io.github.xxyopen.novel.generator.Generator,genCode/1[java.lang.String],DATABASE_PASSWORD,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\service\impl\BookServiceImpl.java,io.github.xxyopen.novel.service.impl.BookServiceImpl,getPreChapterId/1[java.lang.Long],bookChapterCacheManager,1
