file,class,method,variable,usage
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\auth\UserHolder.java,io.github.xxyopen.novel.core.auth.UserHolder,setUserId/1[java.lang.Long],userId,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\auth\UserHolder.java,io.github.xxyopen.novel.core.auth.UserHolder,setAuthorId/1[java.lang.Long],authorId,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,doAround/1[io.github.xxyopen.novel.core.aspect.ProceedingJoinPoint],joinPoint,3
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,doAround/1[io.github.xxyopen.novel.core.aspect.ProceedingJoinPoint],targetMethod,2
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,doAround/1[io.github.xxyopen.novel.core.aspect.ProceedingJoinPoint],methodSignature,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,doAround/1[io.github.xxyopen.novel.core.aspect.ProceedingJoinPoint],rLock,3
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,doAround/1[io.github.xxyopen.novel.core.aspect.ProceedingJoinPoint],lock,4
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,doAround/1[io.github.xxyopen.novel.core.aspect.ProceedingJoinPoint],lockKey,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,"buildLockKey/3[java.lang.String,java.lang.reflect.Method,java.lang.Object[]]",args,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,"buildLockKey/3[java.lang.String,java.lang.reflect.Method,java.lang.Object[]]",method,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,"buildLockKey/3[java.lang.String,java.lang.reflect.Method,java.lang.Object[]]",prefix,2
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,"buildLockKey/3[java.lang.String,java.lang.reflect.Method,java.lang.Object[]]",builder,4
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,"buildLockKey/3[java.lang.String,java.lang.reflect.Method,java.lang.Object[]]",i,5
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,"buildLockKey/3[java.lang.String,java.lang.reflect.Method,java.lang.Object[]]",parameters,3
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,"buildLockKey/3[java.lang.String,java.lang.reflect.Method,java.lang.Object[]]",key,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,"parseKeyExpr/2[java.lang.String,java.lang.Object]",expression,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,"parseKeyExpr/2[java.lang.String,java.lang.Object]",parser,1
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,"parseKeyExpr/2[java.lang.String,java.lang.Object]",arg,2
C:\novel-master\src\main\java\io\github\xxyopen\novel\core\aspect\LockAspect.java,io.github.xxyopen.novel.core.aspect.LockAspect,"parseKeyExpr/2[java.lang.String,java.lang.Object]",expr,2
C:\novel-master\src\main\java\io\github\xxyopen\novel\service\impl\DbSearchServiceImpl.java,io.github.xxyopen.novel.service.impl.DbSearchServiceImpl,searchBooks/1[io.github.xxyopen.novel.dto.req.BookSearchReqDto],condition,5
C:\novel-master\src\main\java\io\github\xxyopen\novel\service\impl\DbSearchServiceImpl.java,io.github.xxyopen.novel.service.impl.DbSearchServiceImpl,searchBooks/1[io.github.xxyopen.novel.dto.req.BookSearchReqDto],v,8
C:\novel-master\src\main\java\io\github\xxyopen\novel\service\impl\DbSearchServiceImpl.java,io.github.xxyopen.novel.service.impl.DbSearchServiceImpl,searchBooks/1[io.github.xxyopen.novel.dto.req.BookSearchReqDto],page,4
