file,class,method,variable,usage
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,awaitStartupCompletion/1[int],geyserLogger,1
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,getGeyserConfig/0,geyserConfig,1
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,onDisable/0,geyser,2
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,onDisable/0,geyserInjector,2
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,postStartup/0,geyserBungeePingPassthrough,2
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,postStartup/0,geyserCommandManager,4
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,postStartup/0,geyserInjector,2
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,postStartup/0,geyser,4
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,postStartup/0,geyserConfig,1
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,getSocketAddress/0,geyserInjector,1
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,onEnable/0,geyserLogger,4
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,onEnable/0,geyserConfig,1
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,testFloodgatePluginPresent/0,geyserConfig,1
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,getGeyserPingPassthrough/0,geyserBungeePingPassthrough,1
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,getGeyserCommandManager/0,geyserCommandManager,1
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,onLoad/0,geyserLogger,2
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,onLoad/0,geyserConfig,3
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,onLoad/0,geyser,1
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,getGeyserLogger/0,geyserLogger,1
C:\Geyser-master\common\src\main\java\org\geysermc\floodgate\util\LinkedPlayer.java,org.geysermc.floodgate.util.LinkedPlayer,"of/3[java.lang.String,java.util.UUID,java.util.UUID]",javaUniqueId,2
C:\Geyser-master\common\src\main\java\org\geysermc\floodgate\util\LinkedPlayer.java,org.geysermc.floodgate.util.LinkedPlayer,"of/3[java.lang.String,java.util.UUID,java.util.UUID]",javaUsername,2
C:\Geyser-master\common\src\main\java\org\geysermc\floodgate\util\LinkedPlayer.java,org.geysermc.floodgate.util.LinkedPlayer,"of/3[java.lang.String,java.util.UUID,java.util.UUID]",bedrockId,2
