file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\item\type\FishingRodItem.java,org.geysermc.geyser.item.type.FishingRodItem,"FishingRodItem/2[java.lang.String,org.geysermc.geyser.item.type.Item.Builder]",true,34,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\item\type\FishingRodItem.java,org.geysermc.geyser.item.type.FishingRodItem,getBedrockDamage/1[int],false,50,0,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,9,0,false
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\item\type\FishingRodItem.java,org.geysermc.geyser.item.type.FishingRodItem,"translateNbtToBedrock/2[org.geysermc.geyser.item.type.GeyserSession,org.geysermc.geyser.item.type.CompoundTag]",false,39,5,1,0,1,2,5,8,0,2,2,5,1,1,0,0,0,1,2,0,2,0,1,0,0,0,12,1,0,false
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\network\netty\LocalServerChannelWrapper.java,org.geysermc.geyser.network.netty.LocalServerChannelWrapper,newLocalChannel/1[org.geysermc.geyser.network.netty.LocalChannel],false,37,4,4,0,4,2,4,8,2,1,1,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,9,4,0,false
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,packetError/1[org.geysermc.geyser.session.PacketErrorEvent],false,1053,2,1,0,1,2,9,5,0,0,1,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,false
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,"packetReceived/2[org.geysermc.geyser.session.Session,org.geysermc.geyser.session.Packet]",false,1048,2,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,connected/1[org.geysermc.geyser.session.ConnectedEvent],false,964,6,3,0,3,6,20,26,0,2,1,20,0,0,0,2,0,1,6,1,6,1,2,0,0,0,27,1,2,false
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,packetSending/1[org.geysermc.geyser.session.PacketSendingEvent],false,909,9,7,0,7,6,35,36,1,8,1,35,0,0,0,1,1,0,4,3,11,2,4,0,0,0,27,1,1,false
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,disconnected/1[org.geysermc.geyser.session.DisconnectedEvent],false,1004,8,6,0,6,8,16,34,0,2,1,16,0,0,0,4,0,0,8,0,7,0,3,0,0,0,20,1,2,false
C:\Geyser-master\ap\src\main\java\org\geysermc\geyser\processor\PacketTranslatorProcessor.java,org.geysermc.geyser.processor.PacketTranslatorProcessor,PacketTranslatorProcessor/0,true,35,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,getLogsPath/0,false,238,0,0,0,0,2,4,3,1,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,false
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,awaitStartupCompletion/1[int],false,145,3,5,2,3,4,13,21,1,2,1,13,2,1,0,0,1,0,5,1,2,1,2,0,0,0,40,2,0,false
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,getGeyserConfig/0,false,208,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,getDumpInfo/0,false,233,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,onDisable/0,false,198,2,2,0,2,3,2,8,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,getServerPort/0,false,255,1,1,0,1,1,5,3,1,0,0,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,false
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,postStartup/0,false,171,9,11,1,10,4,16,21,0,1,0,16,0,0,1,0,0,0,1,0,5,0,2,0,0,0,15,2,0,false
C:\Geyser-master\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,getConfigFolder/0,false,228,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
