file,class,method,variable,usage
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\item\type\FishingRodItem.java,org.geysermc.geyser.item.type.FishingRodItem,"FishingRodItem/2[java.lang.String,org.geysermc.geyser.item.type.Item.Builder]",javaIdentifier,1
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\item\type\FishingRodItem.java,org.geysermc.geyser.item.type.FishingRodItem,"FishingRodItem/2[java.lang.String,org.geysermc.geyser.item.type.Item.Builder]",builder,1
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\item\type\FishingRodItem.java,org.geysermc.geyser.item.type.FishingRodItem,getBedrockDamage/1[int],javaDamage,1
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\item\type\FishingRodItem.java,org.geysermc.geyser.item.type.FishingRodItem,"translateNbtToBedrock/2[org.geysermc.geyser.item.type.GeyserSession,org.geysermc.geyser.item.type.CompoundTag]",damage,2
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\item\type\FishingRodItem.java,org.geysermc.geyser.item.type.FishingRodItem,"translateNbtToBedrock/2[org.geysermc.geyser.item.type.GeyserSession,org.geysermc.geyser.item.type.CompoundTag]",session,1
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\item\type\FishingRodItem.java,org.geysermc.geyser.item.type.FishingRodItem,"translateNbtToBedrock/2[org.geysermc.geyser.item.type.GeyserSession,org.geysermc.geyser.item.type.CompoundTag]",tag,3
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\item\type\FishingRodItem.java,org.geysermc.geyser.item.type.FishingRodItem,"translateNbtToBedrock/2[org.geysermc.geyser.item.type.GeyserSession,org.geysermc.geyser.item.type.CompoundTag]",originalDurability,1
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\network\netty\LocalServerChannelWrapper.java,org.geysermc.geyser.network.netty.LocalServerChannelWrapper,newLocalChannel/1[org.geysermc.geyser.network.netty.LocalChannel],peer,4
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\network\netty\LocalServerChannelWrapper.java,org.geysermc.geyser.network.netty.LocalServerChannelWrapper,newLocalChannel/1[org.geysermc.geyser.network.netty.LocalChannel],channel,2
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,packetError/1[org.geysermc.geyser.session.PacketErrorEvent],event,3
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,"packetReceived/2[org.geysermc.geyser.session.Session,org.geysermc.geyser.session.Packet]",session,0
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,"packetReceived/2[org.geysermc.geyser.session.Session,org.geysermc.geyser.session.Packet]",packet,2
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,connected/1[org.geysermc.geyser.session.ConnectedEvent],event,0
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,connected/1[org.geysermc.geyser.session.ConnectedEvent],locale,2
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,connected/1[org.geysermc.geyser.session.ConnectedEvent],uuid,4
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,packetSending/1[org.geysermc.geyser.session.PacketSendingEvent],cipher,1
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,packetSending/1[org.geysermc.geyser.session.PacketSendingEvent],intentionPacket,2
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,packetSending/1[org.geysermc.geyser.session.PacketSendingEvent],address,3
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,packetSending/1[org.geysermc.geyser.session.PacketSendingEvent],skinUploader,2
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,packetSending/1[org.geysermc.geyser.session.PacketSendingEvent],e,1
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,packetSending/1[org.geysermc.geyser.session.PacketSendingEvent],encryptedData,2
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,packetSending/1[org.geysermc.geyser.session.PacketSendingEvent],ipv6ScopeIndex,2
C:\Geyser-master\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,packetSending/1[org.geysermc.geyser.session.PacketSendingEvent],event,3
