file,class,method,variable,usage
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,getDeviceName/0,deviceName,1
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,getAppName/0,appName,1
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setAppName/1[java.lang.String],appName,3
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,getDeviceToken/0,deviceToken,1
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,getCarrierName/0,carrierName,1
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,getDeleted/0,deleted,1
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setPlatform/1[int],platform,3
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,getLanguage/0,language,1
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setPushType/1[int],pushType,3
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,getUsername/0,username,1
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,getDbSecret/0,dbSecret,1
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setPhoneName/1[java.lang.String],phoneName,3
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,getUnReceivedMsgs/0,unReceivedMsgs,1
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,getVoipDeviceToken/0,voipDeviceToken,1
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setPullHistoryMsg/1[boolean],pullHistoryMsg,3
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,getClientID/0,clientID,1
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,getLastChatroomActiveTime/0,lastChatroomActiveTime,1
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setDeviceName/1[java.lang.String],deviceName,3
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setVoipDeviceToken/1[java.lang.String],voipDeviceToken,3
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setDeviceToken/1[java.lang.String],deviceToken,3
