file,class,method,variable,usage
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setAppName/1[java.lang.String],appName,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setPlatform/1[int],platform,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setPushType/1[int],pushType,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setPhoneName/1[java.lang.String],phoneName,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setPullHistoryMsg/1[boolean],pullHistoryMsg,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setDeviceName/1[java.lang.String],deviceName,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setVoipDeviceToken/1[java.lang.String],voipDeviceToken,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setDeviceToken/1[java.lang.String],deviceToken,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setSecret/1[java.lang.String],secret,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setMqttVersion/1[io.netty.handler.codec.mqtt.MqttVersion],mqttVersion,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setCarrierName/1[java.lang.String],carrierName,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,"Session/3[java.lang.String,java.lang.String,io.moquette.spi.ClientSession]",clientID,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,"Session/3[java.lang.String,java.lang.String,io.moquette.spi.ClientSession]",clientSession,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,"Session/3[java.lang.String,java.lang.String,io.moquette.spi.ClientSession]",username,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setUpdateDt/1[long],updateDt,3
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,compareTo/1[io.moquette.persistence.MemorySessionStore.Session],o,5
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setLanguage/1[java.lang.String],language,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setUsername/1[java.lang.String],username,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setUnReceivedMsgs/1[int],unReceivedMsgs,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setDeviceVersion/1[java.lang.String],deviceVersion,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setDbSecret/1[java.lang.String],dbSecret,2
C:\im-server-wildfirechat\broker\src\main\java\io\moquette\persistence\MemorySessionStore.java,io.moquette.persistence.MemorySessionStore$Session,setDeleted/1[int],deleted,2
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,parseFrom/1[java.io.InputStream],input,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,parseDelimitedFrom/1[java.io.InputStream],input,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"parseDelimitedFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]",input,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"parseDelimitedFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]",extensionRegistry,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,getValueBytes/0,ref,3
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,getValueBytes/0,b,2
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,parseFrom/1[com.google.protobuf.CodedInputStream],input,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"parseFrom/2[byte[],com.google.protobuf.ExtensionRegistryLite]",extensionRegistry,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"parseFrom/2[byte[],com.google.protobuf.ExtensionRegistryLite]",data,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,parseFrom/1[byte[]],data,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"parseFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",input,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"parseFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",extensionRegistry,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,newBuilderForType/1[com.google.protobuf.GeneratedMessage.BuilderParent],parent,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,newBuilderForType/1[com.google.protobuf.GeneratedMessage.BuilderParent],builder,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"UserSettingEntry/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",input,6
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"UserSettingEntry/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",extensionRegistry,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"UserSettingEntry/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",e,3
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"UserSettingEntry/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",tag,2
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"UserSettingEntry/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",mutable_bitField0_,0
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"UserSettingEntry/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",done,3
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"UserSettingEntry/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",unknownFields,3
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,writeTo/1[com.google.protobuf.CodedOutputStream],output,5
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,getValue/0,bs,2
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,getValue/0,ref,3
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,getValue/0,s,2
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,newBuilder/1[cn.wildfirechat.proto.WFCMessage.UserSettingEntry],prototype,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"parseFrom/2[com.google.protobuf.ByteString,com.google.protobuf.ExtensionRegistryLite]",extensionRegistry,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"parseFrom/2[com.google.protobuf.ByteString,com.google.protobuf.ExtensionRegistryLite]",data,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,getSerializedSize/0,size,10
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,UserSettingEntry/1[boolean],noInit,0
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,getKeyBytes/0,ref,3
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,getKeyBytes/0,b,2
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"parseFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]",input,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,"parseFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]",extensionRegistry,1
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,UserSettingEntry/1[com.google.protobuf.GeneratedMessage.Builder<?>],builder,2
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,getKey/0,bs,2
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,getKey/0,ref,3
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,getKey/0,s,2
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,isInitialized/0,isInitialized,2
C:\im-server-wildfirechat\common\src\main\java\cn\wildfirechat\proto\WFCMessage.java,cn.wildfirechat.proto.WFCMessage$UserSettingEntry,parseFrom/1[com.google.protobuf.ByteString],data,1
C:\im-server-wildfirechat\broker\src\main\java\com\xiaoleilu\loServer\action\admin\GetIMTokenAction.java,com.xiaoleilu.loServer.action.admin.GetIMTokenAction,"action/2[com.xiaoleilu.loServer.handler.Request,com.xiaoleilu.loServer.handler.Response]",result,3
C:\im-server-wildfirechat\broker\src\main\java\com\xiaoleilu\loServer\action\admin\GetIMTokenAction.java,com.xiaoleilu.loServer.action.admin.GetIMTokenAction,"action/2[com.xiaoleilu.loServer.handler.Request,com.xiaoleilu.loServer.handler.Response]",request,2
C:\im-server-wildfirechat\broker\src\main\java\com\xiaoleilu\loServer\action\admin\GetIMTokenAction.java,com.xiaoleilu.loServer.action.admin.GetIMTokenAction,"action/2[com.xiaoleilu.loServer.handler.Request,com.xiaoleilu.loServer.handler.Response]",input,6
