file,class,method,variable,usage
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,expandNotificationPanel/0,SERVICE_MANAGER,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectEvent/2[com.genymobile.scrcpy.InputEvent,int]",displayId,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],screenInfo,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],SERVICE_MANAGER,4
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],supportsInputEvents,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],lockVideoOrientation,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],deviceSize,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],maxSize,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],layerStack,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],displayId,5
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],crop,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,getLayerStack/0,layerStack,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/6[int,int,int,int,int,int]",displayId,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setClipboardText/1[java.lang.String],SERVICE_MANAGER,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setClipboardText/1[java.lang.String],isSettingClipboard,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectEvent/3[com.genymobile.scrcpy.InputEvent,int,int]",supportsInputEvents,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectEvent/3[com.genymobile.scrcpy.InputEvent,int,int]",SERVICE_MANAGER,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectEvent/3[com.genymobile.scrcpy.InputEvent,int,int]",displayId,4
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setMaxSize/1[int],screenInfo,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setMaxSize/1[int],lockVideoOrientation,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setMaxSize/1[int],deviceSize,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setMaxSize/1[int],maxSize,1
