file,class,method,variable,usage
C:\QtScrcpy-dev\server\src\test\java\com\genymobile\scrcpy\StringUtilsTest.java,com.genymobile.scrcpy.StringUtilsTest,testUtf8Truncate/0,s,1
C:\QtScrcpy-dev\server\src\test\java\com\genymobile\scrcpy\StringUtilsTest.java,com.genymobile.scrcpy.StringUtilsTest,testUtf8Truncate/0,utf8,9
C:\QtScrcpy-dev\server\src\test\java\com\genymobile\scrcpy\StringUtilsTest.java,com.genymobile.scrcpy.StringUtilsTest,testUtf8Truncate/0,count,16
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,app,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,activityThreadConstructor,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,sCurrentActivityThreadField,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,appBindData,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,mBoundApplicationField,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,ctx,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,throwable,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,appBindDataConstructor,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,appBindDataClass,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,mInitialApplicationField,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,activityThreadClass,5
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,activityThread,4
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,getSystemContextMethod,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,applicationInfo,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,appInfoField,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setScreenPowerMode/1[int],mode,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setScreenPowerMode/1[int],d,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectEvent/2[com.genymobile.scrcpy.InputEvent,int]",injectMode,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectEvent/2[com.genymobile.scrcpy.InputEvent,int]",event,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],displayInfoFlags,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],clipboardManager,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],options,6
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],displayInfo,5
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],displayIds,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/6[int,int,int,int,int,int]",keyCode,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/6[int,int,int,int,int,int]",injectMode,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/6[int,int,int,int,int,int]",metaState,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/6[int,int,int,int,int,int]",repeat,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/6[int,int,int,int,int,int]",now,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/6[int,int,int,int,int,int]",action,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/6[int,int,int,int,int,int]",displayId,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/6[int,int,int,int,int,int]",event,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setClipboardText/1[java.lang.String],currentClipboard,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setClipboardText/1[java.lang.String],clipboardManager,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setClipboardText/1[java.lang.String],text,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setClipboardText/1[java.lang.String],ok,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectEvent/3[com.genymobile.scrcpy.InputEvent,int,int]",injectMode,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectEvent/3[com.genymobile.scrcpy.InputEvent,int,int]",inputEvent,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectEvent/3[com.genymobile.scrcpy.InputEvent,int,int]",displayId,3
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setMaxSize/1[int],newMaxSize,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"pressReleaseKeycode/2[int,int]",keyCode,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"pressReleaseKeycode/2[int,int]",injectMode,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,getClipboardText/0,s,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,getClipboardText/0,clipboardManager,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setClipboardListener/1[com.genymobile.scrcpy.Device.ClipboardListener],clipboardListener,2
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,powerOffScreen/1[int],displayId,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/5[int,int,int,int,int]",keyCode,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/5[int,int,int,int,int]",injectMode,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/5[int,int,int,int,int]",metaState,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/5[int,int,int,int,int]",repeat,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/5[int,int,int,int,int]",action,1
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,getPhysicalPoint/1[com.genymobile.scrcpy.Position],screenInfo,3
C:\QtScrcpy-dev\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,getPhysicalPoint/1[com.genymobile.scrcpy.Position],contentRect,4
