file,class,method,variable,usage
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"edit/2[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",logInfoService,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"edit/2[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",logger,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"edit/2[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",heathMonitorService,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"saveHeathMonitor/3[com.wgcloud.entity.HeathMonitor,com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",logInfoService,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"saveHeathMonitor/3[com.wgcloud.entity.HeathMonitor,com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",logger,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"saveHeathMonitor/3[com.wgcloud.entity.HeathMonitor,com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",heathMonitorService,2
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"view/2[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",logInfoService,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"view/2[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",logger,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"view/2[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",heathMonitorService,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"heathMonitorList/2[com.wgcloud.entity.HeathMonitor,com.wgcloud.controller.Model]",logInfoService,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"heathMonitorList/2[com.wgcloud.entity.HeathMonitor,com.wgcloud.controller.Model]",logger,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"heathMonitorList/2[com.wgcloud.entity.HeathMonitor,com.wgcloud.controller.Model]",heathMonitorService,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"delete/3[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest,com.wgcloud.controller.RedirectAttributes]",logInfoService,2
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"delete/3[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest,com.wgcloud.controller.RedirectAttributes]",logger,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"delete/3[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest,com.wgcloud.controller.RedirectAttributes]",heathMonitorService,2
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\LoginCotroller.java,com.wgcloud.controller.LoginCotroller,"login/2[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",commonConfig,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\LoginCotroller.java,com.wgcloud.controller.LoginCotroller,"login/2[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",logger,1
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,setFileSystem/1[java.lang.String],fileSystem,3
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,setCreateTime/1[java.util.Date],createTime,3
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,getFileSystem/0,fileSystem,1
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,setDateStr/1[java.lang.String],dateStr,3
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,setUsed/1[java.lang.String],used,3
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,getAvail/0,avail,1
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,getHostname/0,hostname,1
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,setHostname/1[java.lang.String],hostname,3
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,getUsePer/0,usePer,1
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,getDateStr/0,dateStr,4
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,getCreateTime/0,createTime,1
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,setSize/1[java.lang.String],size,3
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,setUsePer/1[java.lang.String],usePer,3
C:\wgcloud-master\wgcloud-agent\src\main\java\com\wgcloud\entity\DeskState.java,com.wgcloud.entity.DeskState,getUsed/0,used,1
