file,class,method,variable,usage
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\mapper\NetIoStateMapper.java,com.wgcloud.mapper.NetIoStateMapper,"deleteByAccountAndDate/1[java.util.Map<java.lang.String,java.lang.Object>]",map,0
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\mapper\NetIoStateMapper.java,com.wgcloud.mapper.NetIoStateMapper,selectById/1[java.lang.String],id,0
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\mapper\NetIoStateMapper.java,com.wgcloud.mapper.NetIoStateMapper,deleteById/1[java.lang.String[]],id,0
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\mapper\NetIoStateMapper.java,com.wgcloud.mapper.NetIoStateMapper,"selectAllByParams/1[java.util.Map<java.lang.String,java.lang.Object>]",map,0
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\mapper\NetIoStateMapper.java,com.wgcloud.mapper.NetIoStateMapper,"selectByParams/1[java.util.Map<java.lang.String,java.lang.Object>]",params,0
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\mapper\NetIoStateMapper.java,com.wgcloud.mapper.NetIoStateMapper,save/1[com.wgcloud.entity.NetIoState],NetIoState,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\mapper\NetIoStateMapper.java,com.wgcloud.mapper.NetIoStateMapper,insertList/1[java.util.List<com.wgcloud.entity.NetIoState>],recordList,0
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"edit/2[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",request,1
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"edit/2[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",e,2
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"edit/2[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",model,2
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"edit/2[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",id,2
C:\wgcloud-master\wgcloud-server\src\main\java\com\wgcloud\controller\HeathMonitorController.java,com.wgcloud.controller.HeathMonitorController,"edit/2[com.wgcloud.controller.Model,com.wgcloud.controller.HttpServletRequest]",heathMonitor,4
