file,class,method,variable,usage
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,terminate/0,running,2
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,terminate/0,podsWatchOpt,1
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,terminate/0,flinkKubeClient,1
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,tryResetPodCreationCoolDown/0,podCreationRetryInterval,3
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,tryResetPodCreationCoolDown/0,podCreationCoolDown,3
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,"deregisterApplication/2[org.apache.flink.kubernetes.ApplicationStatus,java.lang.String]",flinkKubeClient,1
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,"deregisterApplication/2[org.apache.flink.kubernetes.ApplicationStatus,java.lang.String]",clusterId,2
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,"KubernetesResourceManagerDriver/3[org.apache.flink.kubernetes.Configuration,org.apache.flink.kubernetes.kubeclient.FlinkKubeClient,org.apache.flink.kubernetes.configuration.KubernetesResourceManagerDriverConfiguration]",running,1
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,"KubernetesResourceManagerDriver/3[org.apache.flink.kubernetes.Configuration,org.apache.flink.kubernetes.kubeclient.FlinkKubeClient,org.apache.flink.kubernetes.configuration.KubernetesResourceManagerDriverConfiguration]",podCreationRetryInterval,1
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,"KubernetesResourceManagerDriver/3[org.apache.flink.kubernetes.Configuration,org.apache.flink.kubernetes.kubeclient.FlinkKubeClient,org.apache.flink.kubernetes.configuration.KubernetesResourceManagerDriverConfiguration]",requestResourceFutures,1
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,"KubernetesResourceManagerDriver/3[org.apache.flink.kubernetes.Configuration,org.apache.flink.kubernetes.kubeclient.FlinkKubeClient,org.apache.flink.kubernetes.configuration.KubernetesResourceManagerDriverConfiguration]",podCreationCoolDown,1
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,"KubernetesResourceManagerDriver/3[org.apache.flink.kubernetes.Configuration,org.apache.flink.kubernetes.kubeclient.FlinkKubeClient,org.apache.flink.kubernetes.configuration.KubernetesResourceManagerDriverConfiguration]",flinkKubeClient,3
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,"KubernetesResourceManagerDriver/3[org.apache.flink.kubernetes.Configuration,org.apache.flink.kubernetes.kubeclient.FlinkKubeClient,org.apache.flink.kubernetes.configuration.KubernetesResourceManagerDriverConfiguration]",clusterId,1
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,"KubernetesResourceManagerDriver/3[org.apache.flink.kubernetes.Configuration,org.apache.flink.kubernetes.kubeclient.FlinkKubeClient,org.apache.flink.kubernetes.configuration.KubernetesResourceManagerDriverConfiguration]",webInterfaceUrl,1
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,onPodScheduled/1[org.apache.flink.kubernetes.kubeclient.resources.KubernetesPod],requestResourceFutures,1
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,updateKubernetesServiceTargetPortIfNecessary/0,flinkKubeClient,3
