file,class,method,variable,usage
C:\flink-learning-master\flink-learning-basic\flink-learning-data-sinks\src\main\java\com\zhisheng\data\sinks\Main2.java,com.zhisheng.data.sinks.Main2,main/1[java.lang.String[]],args,0
C:\flink-learning-master\flink-learning-basic\flink-learning-data-sinks\src\main\java\com\zhisheng\data\sinks\Main2.java,com.zhisheng.data.sinks.Main2,main/1[java.lang.String[]],source,1
C:\flink-learning-master\flink-learning-basic\flink-learning-data-sinks\src\main\java\com\zhisheng\data\sinks\Main2.java,com.zhisheng.data.sinks.Main2,main/1[java.lang.String[]],env,2
C:\flink-learning-master\flink-learning-basic\flink-learning-metrics\src\main\java\com\zhisheng\metrics\custom\CustomHistogramMetrics.java,com.zhisheng.metrics.custom.CustomHistogramMetrics,main/1[java.lang.String[]],args,1
C:\flink-learning-master\flink-learning-basic\flink-learning-metrics\src\main\java\com\zhisheng\metrics\custom\CustomHistogramMetrics.java,com.zhisheng.metrics.custom.CustomHistogramMetrics,main/1[java.lang.String[]],env,4
C:\flink-learning-master\flink-learning-connectors\flink-learning-connectors-kafka\src\main\java\com\zhisheng\connectors\kafka\JSONKeyValueDeserializationSchemaTest.java,com.zhisheng.connectors.kafka.JSONKeyValueDeserializationSchemaTest,main/1[java.lang.String[]],args,1
C:\flink-learning-master\flink-learning-connectors\flink-learning-connectors-kafka\src\main\java\com\zhisheng\connectors\kafka\JSONKeyValueDeserializationSchemaTest.java,com.zhisheng.connectors.kafka.JSONKeyValueDeserializationSchemaTest,main/1[java.lang.String[]],parameterTool,2
C:\flink-learning-master\flink-learning-connectors\flink-learning-connectors-kafka\src\main\java\com\zhisheng\connectors\kafka\JSONKeyValueDeserializationSchemaTest.java,com.zhisheng.connectors.kafka.JSONKeyValueDeserializationSchemaTest,main/1[java.lang.String[]],kafkaConsumer,1
C:\flink-learning-master\flink-learning-connectors\flink-learning-connectors-kafka\src\main\java\com\zhisheng\connectors\kafka\JSONKeyValueDeserializationSchemaTest.java,com.zhisheng.connectors.kafka.JSONKeyValueDeserializationSchemaTest,main/1[java.lang.String[]],env,2
C:\flink-learning-master\flink-learning-connectors\flink-learning-connectors-kafka\src\main\java\com\zhisheng\connectors\kafka\JSONKeyValueDeserializationSchemaTest.java,com.zhisheng.connectors.kafka.JSONKeyValueDeserializationSchemaTest,main/1[java.lang.String[]],props,1
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,terminate/0,exception,5
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,terminate/0,e,3
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,"deregisterApplication/2[org.apache.flink.kubernetes.ApplicationStatus,java.lang.String]",optionalDiagnostics,2
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,"deregisterApplication/2[org.apache.flink.kubernetes.ApplicationStatus,java.lang.String]",finalStatus,0
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,releaseResource/1[org.apache.flink.kubernetes.KubernetesWorkerNode],podName,2
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,releaseResource/1[org.apache.flink.kubernetes.KubernetesWorkerNode],worker,1
C:\flink-learning-master\flink-learning-k8s\flink-k8s\src\main\java\org\apache\flink\kubernetes\KubernetesResourceManagerDriver.java,org.apache.flink.kubernetes.KubernetesResourceManagerDriver,"KubernetesResourceManagerDriver/3[org.apache.flink.kubernetes.Configuration,org.apache.flink.kubernetes.kubeclient.FlinkKubeClient,org.apache.flink.kubernetes.configuration.KubernetesResourceManagerDriverConfiguration]",configuration,3
